IP address,Colo,Mean Respond Time,Mean Download Speed
104.16.35.0,SJC,617.2ms (warm-up),6471.2 KB/s
103.21.244.0,SJC,641.5ms (warm-up),6467.7 KB/s
104.19.127.0,SJC,611.3ms (warm-up),6463.0 KB/s
104.18.10.0,SJC,612.3ms (warm-up),6457.1 KB/s
104.19.22.0,SJC,605.7ms (warm-up),6386.3 KB/s
104.19.49.0,SJC,613.4ms (warm-up),6385.1 KB/s
104.19.102.0,SJC,623.4ms (warm-up),6376.4 KB/s
104.19.11.0,SJC,634.5ms (warm-up),6371.8 KB/s
104.19.24.0,SJC,602.1ms (warm-up),6348.3 KB/s
104.19.214.0,SJC,630.0ms (warm-up),6335.1 KB/s
104.19.57.0,SJC,623.4ms (warm-up),6305.4 KB/s
104.19.119.0,SJC,612.4ms (warm-up),6287.6 KB/s
104.16.158.0,SJC,600.8ms (warm-up),6274.3 KB/s
104.18.9.0,SJC,607.1ms (warm-up),6272.4 KB/s
104.16.17.0,SJC,635.8ms (warm-up),6266.5 KB/s
104.17.171.0,SJC,611.4ms (warm-up),6264.7 KB/s
104.19.125.0,SJC,619.8ms (warm-up),6259.5 KB/s
104.18.107.0,SJC,621.1ms (warm-up),6240.8 KB/s
104.19.3.0,SJC,618.7ms (warm-up),6232.8 KB/s
104.17.129.0,SJC,622.7ms (warm-up),6221.2 KB/s
104.19.6.0,SJC,604.7ms (warm-up),6218.3 KB/s
104.17.166.0,SJC,649.0ms (warm-up),6217.9 KB/s
104.19.74.0,SJC,610.7ms (warm-up),6217.2 KB/s
104.19.7.0,SJC,602.7ms (warm-up),6215.0 KB/s
104.19.9.0,SJC,606.9ms (warm-up),6210.3 KB/s
104.18.180.0,SJC,599.3ms (warm-up),6201.3 KB/s
104.19.215.0,SJC,600.5ms (warm-up),6200.5 KB/s
104.19.55.0,SJC,604.9ms (warm-up),6199.5 KB/s
104.19.114.0,SJC,626.9ms (warm-up),6193.0 KB/s
104.17.152.0,SJC,607.0ms (warm-up),6181.8 KB/s
104.16.131.0,SJC,624.1ms (warm-up),6179.3 KB/s
104.17.124.0,SJC,627.1ms (warm-up),6175.7 KB/s
104.16.50.0,SJC,657.7ms (warm-up),6157.9 KB/s
104.19.86.0,SJC,610.0ms (warm-up),6156.5 KB/s
104.19.29.0,SJC,598.8ms (warm-up),6152.2 KB/s
104.18.243.0,SJC,607.8ms (warm-up),6151.5 KB/s
104.19.45.0,SJC,603.1ms (warm-up),6147.6 KB/s
104.17.67.0,SJC,585.5ms (warm-up),6146.9 KB/s
104.19.17.0,SJC,609.0ms (warm-up),6145.5 KB/s
104.17.148.0,SJC,628.1ms (warm-up),6139.5 KB/s
104.18.212.0,SJC,612.8ms (warm-up),6138.4 KB/s
104.19.27.0,SJC,606.6ms (warm-up),6134.9 KB/s
104.16.140.0,SJC,602.7ms (warm-up),6129.9 KB/s
104.19.68.0,SJC,629.2ms (warm-up),6128.9 KB/s
104.18.230.0,SJC,629.9ms (warm-up),6126.1 KB/s
104.19.160.0,SJC,633.6ms (warm-up),6124.3 KB/s
104.16.78.0,SJC,608.0ms (warm-up),6119.4 KB/s
104.19.98.0,SJC,609.4ms (warm-up),6113.8 KB/s
104.19.59.0,SJC,622.5ms (warm-up),6111.0 KB/s
104.17.88.0,SJC,604.8ms (warm-up),6106.8 KB/s
104.18.183.0,SJC,622.8ms (warm-up),6103.3 KB/s
104.19.89.0,SJC,622.5ms (warm-up),6099.1 KB/s
104.19.56.0,SJC,608.4ms (warm-up),6097.7 KB/s
104.19.38.0,SJC,614.1ms (warm-up),6096.3 KB/s
104.19.72.0,SJC,623.8ms (warm-up),6083.7 KB/s
104.16.62.0,SJC,603.0ms (warm-up),6083.4 KB/s
104.19.12.0,SJC,627.3ms (warm-up),6082.7 KB/s
104.19.226.0,SJC,626.7ms (warm-up),6079.9 KB/s
104.19.53.0,SJC,613.4ms (warm-up),6072.0 KB/s
104.19.52.0,SJC,617.5ms (warm-up),6069.5 KB/s
104.17.240.0,SJC,613.6ms (warm-up),6067.1 KB/s
104.17.183.0,SJC,630.3ms (warm-up),6060.9 KB/s
104.19.71.0,SJC,627.3ms (warm-up),6057.1 KB/s
104.16.22.0,SJC,622.4ms (warm-up),6053.0 KB/s
104.19.14.0,SJC,594.7ms (warm-up),6046.1 KB/s
198.41.215.0,SJC,625.5ms (warm-up),6045.4 KB/s
104.19.118.0,SJC,647.8ms (warm-up),6045.1 KB/s
104.19.232.0,SJC,614.2ms (warm-up),6044.8 KB/s
104.17.34.0,SJC,623.4ms (warm-up),6034.8 KB/s
104.19.85.0,SJC,637.1ms (warm-up),6019.8 KB/s
104.16.161.0,SJC,627.4ms (warm-up),6015.1 KB/s
104.19.194.0,SJC,620.7ms (warm-up),5991.7 KB/s
104.18.168.0,SJC,622.7ms (warm-up),5979.3 KB/s
104.19.95.0,SJC,649.3ms (warm-up),5977.6 KB/s
104.16.83.0,SJC,612.5ms (warm-up),5972.3 KB/s
104.19.105.0,SJC,626.8ms (warm-up),5970.6 KB/s
104.19.73.0,SJC,630.7ms (warm-up),5966.9 KB/s
104.16.98.0,SJC,626.2ms (warm-up),5960.9 KB/s
104.19.76.0,SJC,655.0ms (warm-up),5955.9 KB/s
104.18.174.0,SJC,609.9ms (warm-up),5951.3 KB/s
104.16.19.0,SJC,610.0ms (warm-up),5943.3 KB/s
104.16.91.0,SJC,635.6ms (warm-up),5935.0 KB/s
104.17.63.0,SJC,614.1ms (warm-up),5934.0 KB/s
104.19.63.0,SJC,620.6ms (warm-up),5919.9 KB/s
104.17.212.0,SJC,612.2ms (warm-up),5917.2 KB/s
104.16.43.0,SJC,597.0ms (warm-up),5906.1 KB/s
104.19.82.0,SJC,619.6ms (warm-up),5903.1 KB/s
104.18.200.0,SJC,628.2ms (warm-up),5892.1 KB/s
104.19.23.0,SJC,632.4ms (warm-up),5891.7 KB/s
104.16.155.0,SJC,627.3ms (warm-up),5889.4 KB/s
104.16.246.0,SJC,631.5ms (warm-up),5885.5 KB/s
104.16.159.0,SJC,610.8ms (warm-up),5885.2 KB/s
104.19.104.0,SJC,625.9ms (warm-up),5878.7 KB/s
104.19.221.0,SJC,635.2ms (warm-up),5872.3 KB/s
162.159.250.0,LAX,646.2ms (warm-up),5842.3 KB/s
104.18.189.0,SJC,619.0ms (warm-up),5832.7 KB/s
104.19.88.0,SJC,627.0ms (warm-up),5832.4 KB/s
104.16.46.0,SJC,607.4ms (warm-up),5822.5 KB/s
104.16.174.0,SJC,620.6ms (warm-up),5792.8 KB/s
104.17.74.0,SJC,645.1ms (warm-up),5784.3 KB/s
104.17.217.0,SJC,632.9ms (warm-up),5774.9 KB/s
104.18.208.0,SJC,635.9ms (warm-up),5758.4 KB/s
